A1=I Testes
A2=Regra crítica | B2=Caso | C2=Tipo | D2=Entrada/Cenário | E2=Resultado esperado | F2=Previne | G2=Status
A146=Tela 15 / CEI | B146=01 | C146=hash | D146=Mesmo arquivo reprocessado | E146=Não cria nova carga/fato duplicado. | F146=duplicação | G146=CEI APROVADO
A147=Tela 15 / CEI | B147=02 | C147=business key | D147=Mesmo evento em arquivos distintos | E147=Deduplica conforme contrato, preservando lineage. | F147=duplicação cross-file | G147=CEI APROVADO
A148=Tela 15 / CEI | B148=03 | C148=rejeição parcial | D148=Há linhas aceitas e rejeitadas | E148=Contagens fecham e motivos ficam auditáveis. | F148=erro silencioso | G148=CEI APROVADO
A149=Tela 15 / CEI | B149=04 | C149=reprocessar | D149=Lote falhou | E149=Nova tentativa auditada e idempotente. | F149=sobrescrita/duplicação | G149=CEI APROVADO
A150=Tela 15 / CEI | B150=05 | C150=STALE | D150=Fonte excede freshness configurada | E150=Mostra STALE + last_success_at; não zera dados. | F150=falso zero | G150=DEPENDÊNCIA L-24
A151=Tela 15 / CEI | B151=06 | C151=fonte | D151=Fonte não aprovada/configurada | E151=Não aparece como integração ativa. | F151=fonte fictícia | G151=CEI APROVADO
A152=Tela 15 / CEI | B152=07 | C152=design lock | D152=Status/dados mudam | E152=Layout permanece idêntico. | F152=redesign indevido | G152=CEI APROVADO
A153=Tela 15 / CEI | B153=08 | C153=export | D153=Contrato não homologado | E153=Não gera arquivo. | F153=artefato inventado | G153=PENDENTE L-22
A154=Tela 16 / CEI | B154=01 | C154=design lock | D154=Valores/contagens mudam | E154=Layout permanece idêntico ao mockup aprovado. | F154=redesign indevido | G154=CEI APROVADO
A155=Tela 16 / CEI | B155=02 | C155=regra | D155=Parâmetro sem CEI/aprovação | E155=Não aparece como vigente. | F155=regra inventada | G155=CEI APROVADO
A156=Tela 16 / CEI | B156=03 | C156=forecast | D156=Consulta projeções | E156=Mostra 24 meses, 12 meses e WAPE/Bias/MASE conforme T12. | F156=divergência T12 | G156=CEI APROVADO
A157=Tela 16 / CEI | B157=04 | C157=estoque | D157=Mínimo ausente no Bling | E157=Exibe UNAVAILABLE/N/A; não zero. | F157=segunda verdade | G157=CEI APROVADO
A158=Tela 16 / CEI | B158=05 | C158=compras | D158=Consulta condição de recomendação | E158=saldo<=mínimo e sem pedido aberto aplicável. | F158=divergência T09/T11 | G158=CEI APROVADO
A159=Tela 16 / CEI | B159=06 | C159=fonte | D159=Fonte externa não configurada | E159=Não aparece como ativa. | F159=fonte fictícia | G159=CEI APROVADO
A160=Tela 16 / CEI | B160=07 | C160=segurança | D160=Referência contém token/credencial | E160=UI/log mascara ou não exibe segredo. | F160=vazamento | G160=CEI APROVADO
A161=Tela 16 / CEI | B161=08 | C161=edição | D161=Usuário tenta editar diretamente na central | E161=Nenhuma mutação genérica; depende de fluxo homologado. | F161=mudança crítica acidental | G161=PENDENTE L-25
A162=Tela 17 / CEI | B162=01 | C162=design lock | D162=Dados/usuários mudam | E162=Layout permanece idêntico. | F162=redesign indevido | G162=CEI APROVADO
A163=Tela 17 / CEI | B163=02 | C163=leitura | D163=Perfil LEITURA tenta ação mutável | E163=Backend nega. | F163=privilégio excessivo | G163=CEI APROVADO
A164=Tela 17 / CEI | B164=03 | C164=bloqueado | D164=Conta BLOCKED tenta acessar | E164=Acesso negado e evento auditável. | F164=acesso indevido | G164=CEI APROVADO
A165=Tela 17 / CEI | B165=04 | C165=mudança perfil | D165=Alteração administrativa autorizada | E165=Antes/depois/ator/timestamp registrados. | F165=mudança silenciosa | G165=PENDENTE L-26
A166=Tela 17 / CEI | B166=05 | C166=bypass frontend | D166=Usuário chama endpoint protegido diretamente | E166=Backend nega pela permissão efetiva. | F166=bypass de autorização | G166=CEI APROVADO
A167=Tela 17 / CEI | B167=06 | C167=pendente | D167=Convite não ativado | E167=Status PENDENTE; sem último acesso fictício. | F167=falso acesso | G167=PENDENTE L-26
A168=Tela 17 / CEI | B168=07 | C168=segredo | D168=Tabela/logs inspecionados | E168=Nenhuma senha/token/secret é exibido. | F168=vazamento | G168=CEI APROVADO
A169=Tela 17 / CEI | B169=08 | C169=rota removida | D169=Menu renderizado | E169=Balanço Patrimonial não aparece. | F169=rota fora do produto | G169=CEI APROVADO
