A1=A Matriz Mestra
A2=ID | B2=Domínio | C2=Tema | D2=Regra | E2=Fonte documental | F2=Dono da regra | G2=Fonte do dado | H2=Sistema atual | I2=Situação atual | J2=Dependência de outro domínio | K2=Regra correspondente no outro documento | L2=Compatível? | M2=Conflito? | N2=Lacuna? | O2=Alteração necessária | P2=Impacto | Q2=Critério de aceite | R2=Teste | S2=Status para implementação
A36=M-034 | B36=Financeiro | C36=Investimentos — reserva/máximo | D36=Reserva=MAX(50.000; maior aprovada); Máximo=MAX(0; MIN(Caixa Semana Crítica−Reserva; Lucro Elegível)); Executável=min(máximo, saldo transferível). | E36=FIN INV-04/05/06; COM/LOG §10/11 | F36=Financeiro | G36=Inputs financeiros confirmados | H36=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I36=Fórmulas compatíveis exceto inputs M-030/M-031/M-032. | J36=DRE/caixa/Nuvem | K36=Fórmula equivalente; dependências conflitam/estão OPEN. | L36=SIM | M36=NÃO | N36=NÃO | O36=Não implementar resultado final enquanto inputs conflitantes/OPEN não forem resolvidos. | P36=Risco de recomendar aplicação indevida. | Q36=Qualquer input crítico ruim bloqueia; fórmula nunca contorna conflito. | R36=T-INV-MAX-01..07 | S36=DEPENDÊNCIA ENTRE DOMÍNIOS
A37=M-035 | B37=Comercial | C37=Estoque/Produção/Compras | D37=Bling é fonte do real; fato real substitui planejado; produção concluída ≠ andamento; compra sugerida não é obrigação. | E37=COM/LOG §2/3/5.2-5.5/7; FIN §2/4 | F37=Comercial/Operações | G37=Bling + planejamento | H37=NÃO AUDITADO | I37=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J37=Financeiro consome fatos reais e caixa comprometido. | K37=Compatíveis. | L37=SIM | M37=NÃO | N37=NÃO | O37=Preservar separação real/futuro e chaves de substituição granular. | P37=Dupla contagem de estoque/produção/obrigações. | Q37=Fato real substitui somente projeção correspondente; não soma. | R37=T-OPS-01..07 | S37=BLOQUEADO POR REGRA
A38=M-036 | B38=Comercial | C38=Custo de carregar estoque P6 | D38=Só componentes reais/mapeados; taxa financeira mensal de custo de capital ainda precisa ser definida. | E38=COM/LOG §5.5/6/20; FIN §12 | F38=Financeiro fornece taxa; Comercial usa na decisão | G38=Parâmetro financeiro + custos reais | H38=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I38=Lacuna financeira explícita. | J38=Financeiro | K38=Sem conflito; falta parâmetro. | L38=SIM | M38=NÃO | N38=SIM | O38=Definir taxa/custo de capital e armazenagem incremental válida. | P38=Antecipação pode parecer vantajosa por custo fictício/omitido. | Q38=Sem taxa aprovada, recomendação de antecipação fica DADO INSUFICIENTE. | R38=T-CARRY-01..07 | S38=LACUNA — DECISÃO MAJUCAU
A39=M-037 | B39=Transversal | C39=Rastreabilidade | D39=Todo número material preserva origem, ids, business/idempotency key, datas, timestamps, status e rule_version; alteração manual guarda antes/depois/usuário/motivo. | E39=GOV §12; FIN §2/7/13; COM/LOG §13 | F39=Compartilhado | G39=Todas | H39=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I39=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J39=Todos | K39=Complementares; COM/LOG possui contrato mais amplo e FIN requisitos contábeis adicionais. | L39=SIM | M39=NÃO | N39=NÃO | O39=Criar trilha transversal e drill-down; não sobrescrever histórico. | P39=Sem lineage não há auditoria/reconciliação confiável. | Q39=Cada KPI deve chegar ao documento/arquivo/regra que o gerou. | R39=T-LINEAGE-01..07 | S39=BLOQUEADO POR REGRA
A40=M-038 | B40=Transversal | C40=Idempotência | D40=Deduplicar no nível do arquivo e do fato de negócio, distinguindo duplicata do mesmo fato de eventos diferentes da mesma operação. | E40=GOV §15; FIN §5.3/13; COM/LOG §3/14 | F40=Compartilhado | G40=Arquivos + chaves de origem | H40=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I40=Chaves definitivas dos arquivos reais ainda precisam validação. | J40=Todos | K40=Compatíveis. | L40=SIM | M40=NÃO | N40=SIM | O40=Definir business_key/idempotency_key por entidade com dados reais. | P40=Pode inflar KPI ou apagar evento legítimo. | Q40=Mesmo hash não reprocessa; eventos distintos com mesmo Nº transação são preservados. | R40=T-IDEMP-01..07 | S40=BLOQUEADO POR DADO
A41=M-039 | B41=Design | C41=Telas congeladas | D41=Telas 01–06 não podem ser redesenhadas; Tela 06 é Design Lock; Tela 09 inexiste; Logística tem conteúdo fechado mas mockup a validar. | E41=GOV §17; COM/LOG gate/§19.1; FIN §16 | F41=Majucau/Design | G41=N/A | H41=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I41=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J41=Todos | K41=Compatíveis. | L41=SIM | M41=NÃO | N41=SIM | O41=Validar encaixe do bloco Logística e local do Pricing antes de qualquer alteração visual. | P41=Violação do mockup congelado e criação de rota indevida. | Q41=Nenhuma tela congelada muda sem CR; Logística/Preço só entram em local aprovado. | R41=T-UI-LOCK-01..07 | S41=LACUNA — DECISÃO MAJUCAU
A42=M-040 | B42=Transversal | C42=Sistema atual | D42=Comparação regra × implementação atual não pode ser concluída porque nenhum código, schema de BD, migrations, configs, logs ou testes existentes foram fornecidos. | E42=GOV §18/22 + evidência dos anexos | F42=DEV | G42=Repositório/BD/config inexistentes no pacote | H42=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I42=Bloqueio de auditoria técnica. | J42=Todos | K42=Os documentos descrevem regras, não comprovam implementação. | L42=NÃO | M42=NÃO | N42=SIM | O42=Fornecer repositório/read-only, schema, migrations, configs de integração e suíte de testes para classificar JÁ CONFORME/PRECISA ALTERAÇÃO. | P42=Sem isso, qualquer afirmação sobre sistema atual seria inventada. | Q42=Nenhuma linha deve ser marcada JÁ CONFORME sem evidência de execução/código. | R42=T-AUDIT-SYS-01 | S42=BLOQUEADO POR DADO
A43=M-041 | B43=Operação | C43=Tela 11 — CEI Compras | D43=Tela 11 é informativa/read-only. Única saída externa: Excel de Compras Recomendadas. Não cria/edita pedido, estoque, fornecedor ou financeiro. Cabeçalho sem Exportar/Ajuda; sem Gerar Pedidos. | E43=Q_CEI_Tela_11; mockup aprovado 12/09/2026 | F43=Majucau/Operação | G43=Bling + fontes externas do cacau | H43=NÃO AUDITADO — implementação atual não fornecida. | I43=Contrato de interface aprovado documentalmente. | J43=Estoque / Compras / Integrações / Financeiro | K43=Recomendação não constitui obrigação financeira. | L43=SIM | M43=NÃO | N43=SIM | O43=Implementar conforme Q_CEI_Tela_11; preservar read-only e exportação restrita ao bloco. | P43=Ação transacional indevida pode criar compras/passivos. | Q43=Nenhum CTA cria pedido; exporta somente lista completa; sinais de cacau não forçam recomendação. | R43=T-CEI11-01..12 | S43=DEPENDÊNCIA — gate geral + L-17..L-19
A44=M-042 | B44=Operação | C44=Compras Recomendadas — elegibilidade | D44=Um insumo entra quando estoque atual <= estoque mínimo Bling e não possui Pedido de Compra aberto aplicável. A contagem deve reconciliar com Tela 09 'Abaixo do mínimo sem pedido'. Cacau usa a mesma regra. | E44=Q_CEI_Tela_11 11-R01..03 | F44=Majucau/Operação | G44=Bling — estoque + mínimo + pedidos | H44=NÃO AUDITADO. | I44=Regra funcional aprovada; mapeamento técnico precisa auditoria. | J44=Estoque / Compras | K44=Sem forecast/projeção futura. | L44=SIM | M44=NÃO | N44=SIM | O44=Usar mesma business rule/snapshot da Tela 09; não duplicar lógica no frontend. | P44=Divergência entre telas ou compra duplicada. | Q44=Mesma posição/filtros => contagens idênticas; pedido aberto exclui recomendação. | R44=T-CEI11-01..03,09 | S44=DEPENDÊNCIA — integração Bling
A45=M-043 | B45=Operação | C45=Compras — preço, prazo e prioridade | D45=Último preço faturado vem da última NF-e de entrada vinculada ao Pedido atendido. Prazo real = data/hora de ATENDIDO manual - data/hora do Pedido. Prioridade cresce com prazo individual; fórmula/thresholds exatos permanecem OPEN. | E45=Q_CEI_Tela_11; decisão Majucau 12/09/2026 | F45=Majucau/Operação | G45=Bling — Pedido de Compra + NF-e entrada | H45=NÃO AUDITADO. | I45=Fonte funcional definida; parâmetros de agregação/prioridade pendentes. | J45=Compras / Financeiro | K45=Não usar preço cotado como pago nem lead time médio global. | L45=SIM | M45=NÃO | N45=SIM | O45=Mapear vínculo PO↔NF-e e timestamps; homologar histórico/faixas antes de publicar prioridade definitiva. | P45=Preço/lead time incorretos distorcem recomendação e priorização. | Q45=Preço reconcilia com NF-e vinculada; prazo reconcilia com timestamps; sem regra homologada => PENDING_RULE. | R45=T-CEI11-04..07 | S45=LACUNA — L-17/L-18
A46=M-044 | B46=Operação/Inteligência | C46=Cacau — mercado e risco | D46=Bloco especial permanece independente da recomendação operacional. Sinais adversos relevantes de clima, safra, estoques globais, preço internacional ou câmbio elevam atenção/risco; preço pago abaixo de referência comparável pode exibir OPORTUNIDADE. Alertas climáticos usam origens dos fornecedores atuais. | E46=Q_CEI_Tela_11; mockup aprovado 12/09/2026 | F46=Majucau/Operação | G46=Fontes externas auditadas + NF-e + cadastro de origens | H46=NÃO AUDITADO. | I46=Estrutura aprovada; fontes/thresholds/origens pendentes. | J46=Compras / Inteligência | K46=Sinais são informativos e nunca criam pedido nem incluem cacau automaticamente. | L46=SIM | M46=NÃO | N46=SIM | O46=Homologar fontes, thresholds, freshness e comparabilidade; mapear origens reais dos fornecedores. | P46=Falso sinal de risco/oportunidade pode induzir decisão de compra equivocada. | Q46=Sinal externo não altera elegibilidade; oportunidade usa preço pago real e referência comparável. | R46=T-CEI11-09..11 | S46=BLOQUEADO POR L-19
A47=M-045 | B47=Operação/Inteligência | C47=Tela 12 — CEI Projeções | D47=Tela 12 usa Bling como base funcional, opera somente por SKU e mantém cenários ESTUDO e META. Histórico do estudo = 24 meses; horizonte = 12 meses. Tudo é PROJECTED/read-only; não cria venda, OP, compra ou alteração de estoque no Bling. | E47=R_CEI_Tela_12; decisões Majucau 12/09/2026 | F47=Majucau/Operação + Inteligência | G47=Bling + parâmetros/versionamento Majucau | H47=NÃO AUDITADO — implementação atual não fornecida. | I47=Contrato funcional aprovado documentalmente. | J47=Produção / Estoque / Compras / Integrações | K47=Realizado Bling permanece separado de projeção. | L47=SIM | M47=NÃO | N47=SIM | O47=Implementar conforme R_CEI_Tela_12, preservando estados PROJECTED/UNAVAILABLE e rastreabilidade de versão. | P47=Misturar projetado com realizado ou escrever no Bling gera efeito operacional indevido. | Q47=Nenhuma ação da Tela 12 muta Bling; cenário, período, modelo e origem são rastreáveis. | R47=T-CEI12-01..13 | S47=DEPENDÊNCIA — gate geral + integração Bling
A48=M-046 | B48=Inteligência | C48=Forecast — histórico, sazonalidade e backtest | D48=Forecast usa 24 meses de histórico Bling com sazonalidade versionada do negócio de chocolates. WAPE é métrica principal, Bias controla direção do erro e MASE compara contra referência sazonal. Backtest é temporal. | E48=R_CEI_Tela_12 | F48=Majucau/Inteligência | G48=Bling — histórico por SKU + calendário sazonal | H48=NÃO AUDITADO. | I48=Métricas e janela aprovadas; thresholds de aceitação ainda não definidos. | J48=Projeções | K48=Períodos sazonais devem ser avaliados separadamente quando houver volume suficiente. | L48=SIM | M48=NÃO | N48=SIM | O48=Versionar janela de treino, calendário, parâmetros e resultados do backtest. | P48=WAPE geral pode esconder falha justamente em Páscoa/Natal. | Q48=Métricas exibidas vêm do backtest real e podem ser detalhadas por sazonalidade. | R48=T-CEI12-01,02,10 | S48=LACUNA — L-20
A49=M-047 | B49=Operação | C49=Projeção — vendas, produção e estoque | D49=Venda projetada é o ponto de partida. Produção projetada deriva da venda do mesmo SKU/período e NÃO desconta estoque pronto atual. Estoque projetado usa saldo inicial real do Bling + produção projetada - venda projetada, acumulando por período. | E49=R_CEI_Tela_12 | F49=Majucau/Operação | G49=Bling estoque + motor de projeção | H49=NÃO AUDITADO. | I49=Regra-base aprovada. | J49=Produção / Estoque | K49=Estoque atual é usado apenas como posição inicial da projeção de estoque, não como redutor da produção. | L49=SIM | M49=NÃO | N49=NÃO | O49=Implementar cálculo por SKU/unidade e preservar UNAVAILABLE quando saldo inicial faltar. | P49=Descontar produto pronto da produção impediria enxergar corretamente a trajetória de estoque futuro. | Q49=Produção não lê estoque atual como redutor; estoque reconcilia período a período. | R49=T-CEI12-04..06 | S49=APROVADO CEI
A50=M-048 | B50=Operação/Planejamento | C50=Cenário META | D50=Cenário META permite meta de faturamento, meta por SKU ou meta mista. Meta de faturamento é transformada em quantidades por SKU usando mix/preço do estudo; metas específicas por SKU podem sobrescrever o automático e recalculam produção/estoque. | E50=R_CEI_Tela_12 | F50=Majucau/Planejamento | G50=Majucau + Bling histórico/preços | H50=NÃO AUDITADO. | I50=Conceito aprovado; regra técnica detalhada de preço/distribuição deve ser versionada/homologada. | J50=Projeções / Produção / Estoque | K50=Meta é planejamento interno e não altera Bling. | L50=SIM | M50=NÃO | N50=SIM | O50=Persistir scenario_version, metas, overrides, método de distribuição e preço de referência. | P50=Meta R$ sem mix/preço auditável não gera quantidade operacional confiável. | Q50=Cenário META é reproduzível e evidencia overrides por SKU. | R50=T-CEI12-07..09 | S50=DEPENDÊNCIA — L-21
A51=M-049 | B51=Operação/Planejamento | C51=Tela 12 — exportação | D51=Exportar gera XLSX do cenário/contexto selecionado, não print. Deve conter Resumo_Cenario, Projecao_Vendas_SKU, Projecao_Producao_SKU, Estoque_Projetado_SKU, Metas, Qualidade_Estudo, OP_Projetada e Metadados. Tudo projetado é marcado PROJECTED; OP é explicitamente não real. | E51=R_CEI_Tela_12; decisão Majucau 12/09/2026 | F51=Majucau/Planejamento | G51=Snapshot do cenário/versionamento | H51=NÃO AUDITADO. | I51=Contrato de exportação aprovado. | J51=Projeções / Produção | K51=Exportação é somente artefato de planejamento e discussão. | L51=SIM | M51=NÃO | N51=NÃO | O51=Gerar XLSX estruturado; gráficos, se houver, nativos do Excel; nenhuma escrita no Bling. | P51=Planilha sem marcação pode ser confundida com OP/realizado oficial. | Q51=Totais reconciliam com detalhe; metadados reproduzem cenário; nenhuma mutação ocorre. | R51=T-CEI12-11..13 | S51=APROVADO CEI
A52=M-050 | B52=Design/Governança | C52=Design Lock global de mockups | D52=Mockup aprovado/vigente é estruturalmente imutável: sidebar, logo, cabeçalho, cores, tipografia, disposição, proporções e containers não podem ser alterados sem aprovação explícita. Revisões normais alteram somente dados/conteúdo. | E52=Decisão Majucau 12/09/2026 | F52=Majucau/Design | G52=Mockups vigentes | H52=NÃO AUDITADO — implementação atual não fornecida. | I52=Regra de governança aprovada. | J52=Todos os módulos | K52=Aplica-se especialmente às Telas 13–15 e às novas revisões. | L52=SIM | M52=NÃO | N52=NÃO | O52=Implementar conteúdo sem redesenhar componentes; se algo não couber, retornar à Majucau. | P52=Redesign não autorizado quebra validação e rastreabilidade visual. | Q52=Qualquer alteração estrutural possui aprovação explícita; mudanças de dados preservam layout. | R52=T-CEI13-06; T-CEI14-05; T-CEI15-07 | S52=APROVADO CEI
A53=M-051 | B53=Controle | C53=Tela 13 — Lançamentos & Pendências | D53=Tela 13 consolida exceções que exigem decisão/correção/investigação: OPEN, BLOCKED, PENDING, UNMAPPED, STALE e DIVERGENT. Não altera fatos no Bling e não fecha item automaticamente pelo clique em Resolver. | E53=S_CEI_Tela_13 | F53=Majucau/Controle | G53=Estados dos módulos + lineage | H53=NÃO AUDITADO. | I53=Contrato funcional consolidado. | J53=Todos / Controle | K53=T13 recebe referência dos módulos sem recriar suas regras. | L53=SIM | M53=NÃO | N53=SIM | O53=Implementar pending_item e navegação contextual; exportação permanece OPEN. | P53=Fechar automaticamente ou aplicar default pode ocultar erro material. | Q53=KPIs reconciliam com a tabela; cada item possui origem/dependência/status auditáveis. | R53=T-CEI13-01..07 | S53=DEPENDÊNCIA — gate geral + L-22/L-23
A54=M-052 | B54=Controle | C54=Tela 14 — Alertas | D54=Tela 14 agrega alertas gerados por regras já aprovadas nos módulos de origem. Não cria threshold próprio. Tela 10 não gera alertas; Estoque, Compras/Cacau e integrações seguem seus próprios CEIs. | E54=T_CEI_Tela_14 | F54=Majucau/Controle | G54=alert_event + módulos de origem | H54=NÃO AUDITADO. | I54=Contrato funcional consolidado. | J54=Estoque / Compras / Integrações / demais módulos | K54=Alerta aponta para source_ref e mantém prioridade/status de origem. | L54=SIM | M54=NÃO | N54=SIM | O54=Implementar agregação sem duplicação; exportação permanece OPEN. | P54=Regra paralela na central gera falso alerta e divergência com a tela de origem. | Q54=Mesmos alert_id/source_ref reconciliam tabela, KPIs e blocos; resolvido preserva histórico. | R54=T-CEI14-01..06 | S54=DEPENDÊNCIA — gate geral + L-22
A55=M-053 | B55=Controle/Integrações | C55=Tela 15 — Importações / Integrações | D55=Tela 15 mostra saúde das fontes, lotes, freshness, hash, idempotência, rejeições e reprocessamento controlado. Exibe Bling e apenas fontes externas realmente configuradas/aprovadas. | E55=U_CEI_Tela_15 | F55=Majucau/Integrações | G55=Bling + importador + fontes externas aprovadas | H55=NÃO AUDITADO. | I55=Contrato funcional consolidado. | J55=Todos / Controle | K55=T15 diagnostica integração; T13 recebe pendência e T14 recebe alerta quando aplicável. | L55=SIM | M55=NÃO | N55=SIM | O55=Implementar status por fonte/lote, reprocessamento idempotente e lineage; exportação permanece OPEN. | P55=Duplicação, exclusão de evidência ou fonte fictícia comprometem toda a base. | Q55=Mesmo hash/business key não duplica; STALE não vira zero; reprocessamento é auditado. | R55=T-CEI15-01..08 | S55=DEPENDÊNCIA — gate geral + L-22/L-24
A56=M-054 | B56=Controle | C56=Separação de responsabilidades T13/T14/T15 | D56=T13 responde 'o que precisa ser resolvido'; T14 responde 'o que precisa de atenção'; T15 responde 'a fonte/integração está saudável e confiável?'. Um mesmo evento pode ser vinculado entre telas por IDs, mas a regra nasce uma única vez. | E56=S_CEI_Tela_13; T_CEI_Tela_14; U_CEI_Tela_15 | F56=Majucau/Controle | G56=pending_item + alert_event + integration refs | H56=NÃO AUDITADO. | I56=Responsabilidades aprovadas. | J56=Controle / Todos | K56=Evita duplicação de regra e estados contraditórios. | L56=SIM | M56=NÃO | N56=NÃO | O56=Persistir vínculos alert_id/pending_id/batch_id/source_id sem copiar lógica de negócio. | P56=Duplicar regra em três telas gera inconsistência e resolução falsa. | Q56=Mesmo evento mantém lineage e nenhuma tela central recalcula regra de origem. | R56=T-CEI13-01; T-CEI14-01; T-CEI15-07 | S56=APROVADO CEI
A57=M-055 | B57=Configurações | C57=Tela 16 — Parâmetros | D57=Tela 16 consolida somente parâmetros e fontes já aprovados. É central de referência/governança, não editor genérico. Mockup e design são imutáveis; números ilustrativos não são dados de produção. | E57=W_CEI_Tela_16; V_Mockup_Tela_16 | F57=Majucau/Configurações | G57=CEIs vigentes + Bling + fontes externas aprovadas | H57=NÃO AUDITADO. | I57=Contrato funcional aprovado documentalmente. | J57=Todos | K57=Cada parâmetro aponta para regra/fonte do domínio de origem. | L57=SIM | M57=NÃO | N57=SIM | O57=Implementar consulta/navegação; edição somente após L-25. | P57=Editor genérico pode alterar regra crítica sem governança. | Q57=Parâmetro sem decisão aprovada não aparece como vigente; design não muda; nenhum secret é exposto. | R57=T-CEI16-01..08 | S57=DEPENDÊNCIA — gate geral + L-25
A58=M-056 | B58=Configurações/Governança | C58=Versionamento de parâmetros | D58=Qualquer futura alteração de parâmetro crítico deve preservar valor anterior/novo, ator, timestamp, motivo, regra/versão e vigência; rollback não apaga histórico. | E58=W_CEI_Tela_16 | F58=Majucau/Configurações | G58=parameter_registry + parameter_change_event | H58=NÃO AUDITADO. | I58=Requisito técnico aprovado; fluxo de edição ainda OPEN. | J58=Todos | K58=Parâmetro de origem continua pertencendo ao domínio correspondente. | L58=SIM | M58=NÃO | N58=SIM | O58=Definir workflow específico e permissões antes de permitir mutação. | P58=Alteração silenciosa quebra auditoria e pode modificar resultados históricos. | Q58=Histórico é reproduzível; versões anteriores permanecem consultáveis. | R58=T-CEI16-07..08 | S58=DEPENDÊNCIA — L-25
A59=M-057 | B59=Configurações/Segurança | C59=Tela 17 — Usuários | D59=Tela 17 consolida contas, perfis e permissões. Perfis de alto nível: ADMIN, FINANCEIRO, OPERAÇÃO e LEITURA. Contagens do mockup são ilustrativas. Balanço Patrimonial exibido no mockup é conteúdo legado e não deve existir na implementação. | E59=Y_CEI_Tela_17; X_Mockup_Tela_17 | F59=Majucau/Segurança | G59=user_account + access_profile + profile_permission | H59=NÃO AUDITADO. | I59=Contrato funcional aprovado documentalmente. | J59=Todos | K59=Autorização deve respeitar read-only/mutação de cada CEI de origem. | L59=SIM | M59=NÃO | N59=SIM | O59=Implementar consulta e autorização backend; fluxos de mutação aguardam L-26. | P59=Permissão somente no frontend ou perfil amplo demais gera escalada de privilégio. | Q59=Default deny; BLOCKED não acessa; LEITURA não muta; mudanças materiais são auditadas. | R59=T-CEI17-01..08 | S59=DEPENDÊNCIA — gate geral + L-26
A60=M-058 | B60=Segurança | C60=RBAC e auditoria de acesso | D60=Permissões são concedidas por perfil e validadas no backend. Ações não concedidas são negadas por padrão. Mudanças de usuário/perfil/status geram trilha append-only; segredos nunca aparecem em UI/log. | E60=Y_CEI_Tela_17 | F60=Majucau/Segurança | G60=profile_permission + access_audit_event | H60=NÃO AUDITADO. | I60=Princípios de segurança aprovados; matriz final ainda OPEN. | J60=Todos | K60=Cada módulo aplica sua própria permissão de ação além do perfil geral. | L60=SIM | M60=NÃO | N60=SIM | O60=Homologar matriz ação×módulo e arquitetura IAM; testar bypass direto ao backend. | P60=Controle só no frontend é vulnerável e não constitui autorização. | Q60=Chamada não autorizada é negada mesmo sem UI; nenhuma credencial é exposta. | R60=T-CEI17-02..07 | S60=DEPENDÊNCIA — L-26
